artist_name,artist_id,duration,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
FINNEAS,37M5pPGs6V1fchFJSgCguX,215110.4,60.6,0.5371,0.7563,0.29055,0.0005327800000000001,0.12483999999999999,-11.133700000000001,0.11311,137.7203,0.30867
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,213944.8,62.8,0.6990999999999999,0.087341,0.7733000000000001,0.00012092000000000001,0.13754,-4.6631,0.06956,110.2103,0.615
Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,202542.5,71.0,0.609,0.5905,0.5032,0.004750547,0.1257,-8.1116,0.059519999999999997,131.2722,0.3816
HRVY,28y6CyJNkGNjJQKrlx4AmN,173120.6,53.5,0.6903,0.11934,0.7718,1.7690000000000001e-06,0.13658,-4.6734,0.08979,115.5184,0.7099
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,200757.7,64.2,0.6358,0.16465000000000002,0.6801,1.823e-06,0.14042,-5.8278,0.07264,112.66890000000001,0.4779
Halsey,26VFTg2z8YR0cCuwLzESi2,192018.7,73.8,0.658,0.18219517999999998,0.634,9.2e-07,0.15009999999999998,-6.1633000000000004,0.07399,103.6396,0.5043
Hannah Montana,7nU4hB040gTmHm45YYMvqc,191638.7,58.3,0.573,0.037599,0.8528,5.05e-07,0.21686999999999998,-3.7984,0.06910999999999999,130.0324,0.6533
Harry Styles,6KImCVD70vtIoJWnq6nGn3,235863.9,81.5,0.5378000000000001,0.30732,0.5843999999999999,0.00013296600000000001,0.14198,-5.9178999999999995,0.0418,122.73889999999999,0.39622999999999997
Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,186456.0,54.0,0.6638,0.11088100000000001,0.6937,0.00043227199999999993,0.1567,-5.0474000000000006,0.05655,130.49960000000002,0.5287
High School Musical Cast,2gUMs9PE8XZVQyzCDqaYmW,217020.0,49.0,0.6632,0.149797,0.827,5.0120000000000005e-06,0.23879999999999998,-5.0390999999999995,0.08188,122.18769999999999,0.6509
Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,190117.3,47.9,0.7382,0.21223,0.6628000000000001,1.01e-06,0.18542,-6.208799999999999,0.08854999999999999,113.70989999999999,0.5389999999999999
Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,182971.3,64.5,0.6634,0.7094,0.24308000000000002,0.00039641,0.352,-12.1789,0.06061999999999999,99.7506,0.4887
Jesse McCartney,2Hjj68yyUPiC0HKEOigcEp,204577.9,53.6,0.6382,0.12424900000000001,0.7493000000000001,0.003142171,0.14709,-4.560499999999999,0.05743,110.2008,0.6247
Joe Jonas,7gbmX8SsfjEjxDMzBi1ZOL,197117.1,42.8,0.49379999999999996,0.1444986,0.7555,1.175e-06,0.21946,-5.1635,0.0536,121.0959,0.5749000000000001
John K,73eAAfRkS2Vi4hx68oTJJE,179199.6,51.6,0.7524,0.23762,0.5071,1.8264e-05,0.12786,-6.3417,0.05471,119.9707,0.49367
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,167831.1,69.4,0.7637,0.048118,0.7686,1.076e-06,0.16666,-5.0639,0.05516,117.40440000000001,0.7624000000000001
Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,190932.7,67.0,0.6024,0.5122,0.4801,7.64e-07,0.14313,-7.0508,0.07857,126.728,0.3835
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,197227.9,79.2,0.6697,0.24001039999999998,0.6668000000000001,0.03285018,0.20072,-6.438899999999999,0.13172,118.86300000000001,0.5682
Katy Perry,6jJ0s89eD6GaHleKKya26X,220838.5,74.7,0.6728,0.02493993,0.7628,4.243e-06,0.23618,-4.4314,0.0445,127.2923,0.6169
LANY,49tQo2QULno7gxHutgccqF,216736.8,67.7,0.6606,0.35787,0.5223,0.000509818,0.14232,-7.9723,0.06373999999999999,108.39410000000001,0.4006
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,261729.9,81.5,0.41879999999999995,0.42042,0.5252,0.0606996,0.14087,-8.2735,0.0385,101.688,0.23298999999999997
Lauv,5JZ7CnR6gTvEMKX4g70Amv,191399.6,71.1,0.6448,0.29673000000000005,0.5174000000000001,0.000696246,0.23314,-8.1435,0.09082,97.3139,0.3854
Liam Payne,5pUo3fmmHT8bhCyHE52hA6,191458.3,55.0,0.6897,0.17928000000000002,0.7353,7.95e-06,0.13261,-5.0232,0.08542,111.90540000000001,0.5730999999999999
Little Mix,3e7awlrlDSwF3iM0WBjGMp,217551.0,66.8,0.6353,0.16626999999999997,0.7339,1.6599e-05,0.1912,-4.5959,0.08259999999999999,107.3353,0.5967
